24
BJP 北京
SHH 上海
TJP 天津
CCT 长春
CDW 成都
FZS 福州
GIW 贵阳
GZQ 广州
HBB 哈尔滨
HHC 呼和浩特
KMM 昆明
LZJ 兰州
NCG 南昌
NNZ 南宁
SYT 沈阳
WHN 武汉
XAY 西安
XNO 西宁
ZZF 郑州
DLT 大连
LZZ 柳州
SZQ 深圳
XCH 徐州
WAR 乌鲁木齐

1064
CZ9014 SHH CDW 20:15 23:35 03:20 1760.0
CZ9048 SHH FZS 18:35 20:00 01:25 940.0
CZ3652 SHH GIW 11:40 14:30 02:50 1240.0
CZ9353 SHH GZQ 07:30 09:50 02:20 5400.0
CZ3596 SHH GZQ 08:50 11:10 02:20 3380.0
CZ3548 SHH GZQ 09:50 12:15 02:25 1300.0
CZ9355 SHH GZQ 10:30 12:55 02:25 1350.0
CZ9357 SHH GZQ 11:30 13:55 02:25 1350.0
CZ3524 SHH GZQ 11:50 14:10 02:20 1230.0
CZ3532 SHH GZQ 13:50 16:10 02:20 1230.0
CZ9359 SHH GZQ 14:30 16:55 02:25 1350.0
CZ3538 SHH GZQ 14:50 17:10 02:20 1230.0
CZ9016 SHH GZQ 15:30 17:55 02:25 1350.0
CZ3236 SHH GZQ 15:50 18:10 02:20 1230.0
CZ9364 SHH GZQ 16:30 19:05 02:35 1350.0
CZ3526 SHH GZQ 16:50 19:10 02:20 1230.0
CZ3572 SHH GZQ 18:50 21:10 02:20 1300.0
CZ9366 SHH GZQ 19:30 21:50 02:20 1350.0
CZ3504 SHH GZQ 19:45 22:10 02:25 1300.0
CZ3582 SHH GZQ 20:50 23:10 02:20 1300.0
CZ9449 SHH HBB 09:05 13:45 04:40 1380.0
CZ9456 SHH HBB 17:50 22:45 04:55 1100.0
CZ9008 SHH HHC 17:15 20:15 03:00 1590.0
CZ9576 SHH KMM 12:35 16:05 03:30 1900.0
CZ9123 SHH KMM 13:15 16:35 03:20 1900.0
CZ9579 SHH KMM 16:30 19:50 03:20 1900.0
CZ9577 SHH KMM 19:10 22:30 03:20 2340.0
CZ9794 SHH KMM 19:45 23:00 03:15 1660.0
CZ9796 SHH KMM 22:00 01:20 03:20 1430.0
CZ9182 SHH LZJ 21:50 01:05 03:15 1580.0
CZ9474 SHH NCG 17:15 18:50 01:35 490.0
CZ3262 SHH NNZ 13:15 16:15 03:00 1200.0
CZ9196 SHH WHN 09:25 11:35 02:10 1560.0
CZ9722 SHH WHN 11:15 13:20 02:05 1200.0
CZ9175 SHH WHN 13:25 15:35 02:10 1200.0
CZ9724 SHH WHN 16:25 18:25 02:00 1560.0
CZ9662 SHH WHN 20:00 21:55 01:55 970.0
CZ9660 SHH WHN 21:20 23:20 02:00 970.0
CZ9693 SHH XAY 08:20 10:50 02:30 1060.0
CZ9707 SHH XAY 13:20 15:55 02:35 1390.0
CZ9695 SHH XAY 14:10 16:50 02:40 1060.0
CZ9696 SHH XAY 15:30 18:15 02:45 1060.0
CZ9037 SHH XAY 19:30 22:10 02:40 1060.0
CZ9702 SHH XAY 20:20 23:00 02:40 1060.0
CZ9407 SHH ZZF 07:35 09:35 02:00 650.0
CZ3592 SHH ZZF 10:35 12:30 01:55 650.0
CZ9403 SHH ZZF 16:25 18:25 02:00 650.0
CZ3598 SHH ZZF 20:50 22:55 02:05 490.0
CZ9311 SHH LZZ 07:50 10:45 02:55 1550.0
CZ3590 SHH SZQ 07:55 10:25 02:30 1300.0
CZ9375 SHH SZQ 09:00 11:30 02:30 1400.0
CZ3576 SHH SZQ 09:15 11:40 02:25 1300.0
CZ9379 SHH SZQ 09:55 12:25 02:30 1400.0
CZ9384 SHH SZQ 10:55 13:30 02:35 1400.0
CZ3966 SHH SZQ 11:45 14:15 02:30 1210.0
CZ9653 SHH SZQ 11:50 14:30 02:40 1300.0
CZ3554 SHH SZQ 12:45 15:15 02:30 1080.0
CZ9386 SHH SZQ 14:05 16:30 02:25 1300.0
CZ9388 SHH SZQ 15:05 17:35 02:30 1300.0
CZ3558 SHH SZQ 15:50 18:20 02:30 1300.0
CZ9390 SHH SZQ 15:55 18:25 02:30 1300.0
CZ3568 SHH SZQ 16:50 19:20 02:30 1080.0
CZ9392 SHH SZQ 17:05 19:40 02:35 1300.0
CZ9393 SHH SZQ 18:30 20:55 02:25 1300.0
CZ9750 SHH SZQ 19:05 21:40 02:35 1090.0
CZ6584 SHH SZQ 19:20 21:45 02:25 1080.0
CZ3552 SHH SZQ 19:55 22:30 02:35 1000.0
CZ9396 SHH SZQ 20:30 23:00 02:30 1090.0
CZ3588 SHH SZQ 20:50 23:20 02:30 940.0
CZ6998 SHH WAR 08:55 14:25 05:30 2490.0
CZ6996 SHH WAR 14:15 19:45 05:30 2330.0
CZ6982 SHH WAR 15:20 21:00 05:40 2330.0
CZ8528 SHH WAR 16:20 21:50 05:30 2330.0
CZ6974 SHH WAR 17:25 22:50 05:25 2660.0
CZ9757 TJP SHH 16:15 18:15 02:00 1760.0
CZ6570 TJP CCT 17:00 18:45 01:45 1190.0
CZ3134 TJP GZQ 12:30 15:40 03:10 1880.0
CZ3302 TJP GZQ 14:55 18:05 03:10 1540.0
CZ3136 TJP GZQ 19:50 23:10 03:20 980.0
CZ3125 TJP HBB 16:50 19:00 02:10 1010.0
CZ3167 TJP WHN 19:05 21:00 01:55 700.0
CZ6569 TJP XAY 10:45 12:45 02:00 1080.0
CZ5930 TJP XAY 11:25 15:20 03:55 1060.0
CZ5941 TJP DLT 14:50 15:55 01:05 520.0
CZ6580 TJP DLT 16:45 17:50 01:05 430.0
CZ6143 CCT BJP 07:35 09:35 02:00 1110.0
CZ6145 CCT BJP 08:30 10:25 01:55 1200.0
CZ6149 CCT BJP 15:30 17:25 01:55 1200.0
CZ6141 CCT BJP 19:10 21:05 01:55 1200.0
CZ6179 CCT BJP 20:15 22:05 01:50 1110.0
CZ6569 CCT TJP 08:05 09:45 01:40 700.0
CZ6441 CCT CDW 07:40 13:10 05:30 1430.0
CZ6166 CCT GIW 14:35 21:00 06:25 1220.0
CZ6341 CCT GZQ 08:10 12:25 04:15 1970.0
CZ6377 CCT GZQ 11:00 15:25 04:25 2250.0
CZ6851 CCT GZQ 13:25 17:40 04:15 2250.0
CZ6275 CCT GZQ 14:15 18:40 04:25 1970.0
CZ3606 CCT GZQ 18:30 22:50 04:20 1970.0
CZ6181 CCT HHC 08:20 10:25 02:05 890.0
CZ6459 CCT KMM 08:20 14:55 06:35 1570.0
CZ8509 CCT KMM 16:50 23:20 06:30 1420.0
CZ8245 CCT LZJ 12:40 18:00 05:20 1430.0
CZ3990 CCT NCG 17:30 20:35 03:05 1570.0
CZ6379 CCT NNZ 08:40 15:25 06:45 1690.0
CZ3988 CCT WHN 15:20 18:30 03:10 1350.0
CZ6652 CCT WHN 16:35 19:35 03:00 1350.0
CZ9675 CCT XAY 17:15 20:40 03:25 1170.0
CZ6569 CCT XAY 08:05 12:45 04:40 1120.0
CZ3738 CCT ZZF 16:05 18:45 02:40 680.0
CZ6609 CCT SZQ 11:20 15:45 04:25 1330.0
CZ6357 CCT SZQ 08:50 14:55 06:05 1050.0
CZ3570 CCT SZQ 14:55 21:25 06:30 1050.0
CZ3990 CCT SZQ 17:30 23:10 05:40 1050.0
CZ6181 CCT WAR 08:20 14:45 06:25 3160.0
CZ6120 CDW BJP 08:15 10:55 02:40 1330.0
CZ9905 CDW BJP 09:30 12:15 02:45 1570.0
CZ9907 CDW BJP 11:30 14:20 02:50 1570.0
CZ6162 CDW BJP 12:30 15:20 02:50 1490.0
CZ9909 CDW BJP 13:30 16:15 02:45 1570.0
